home_score,away_score,home_drives,home_total_plays,home_punts,home_field_goals,home_touchdowns,away_drives,away_total_plays,away_punts,away_field_goals,away_touchdowns,season,week,away_team,home_team,game_url,date
14,9,0,0,0,0,0,0,0,0,0,0,2010,1,Minnesota Vikings,New Orleans Saints,https://www.pro-football-reference.com/boxscores/201009090nor.htm,2010-09-09
15,9,0,0,0,0,0,0,0,0,0,0,2010,1,Atlanta Falcons,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201009120pit.htm,2010-09-12
10,15,0,0,0,0,0,0,0,0,0,0,2010,1,Miami Dolphins,Buffalo Bills,https://www.pro-football-reference.com/boxscores/201009120buf.htm,2010-09-12
19,14,0,0,0,0,0,0,0,0,0,0,2010,1,Detroit Lions,Chicago Bears,https://www.pro-football-reference.com/boxscores/201009120chi.htm,2010-09-12
38,24,0,0,0,0,0,0,0,0,0,0,2010,1,Cincinnati Bengals,New England Patriots,https://www.pro-football-reference.com/boxscores/201009120nwe.htm,2010-09-12
17,14,0,0,0,0,0,0,0,0,0,0,2010,1,Cleveland Browns,Tampa Bay Buccaneers,https://www.pro-football-reference.com/boxscores/201009120tam.htm,2010-09-12
34,24,0,0,0,0,0,0,0,0,0,0,2010,1,Indianapolis Colts,Houston Texans,https://www.pro-football-reference.com/boxscores/201009120htx.htm,2010-09-12
38,13,0,0,0,0,0,0,0,0,0,0,2010,1,Oakland Raiders,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201009120oti.htm,2010-09-12
24,17,0,0,0,0,0,0,0,0,0,0,2010,1,Denver Broncos,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/201009120jax.htm,2010-09-12
31,18,0,0,0,0,0,0,0,0,0,0,2010,1,Carolina Panthers,New York Giants,https://www.pro-football-reference.com/boxscores/201009120nyg.htm,2010-09-12
13,17,0,0,0,0,0,0,0,0,0,0,2010,1,Arizona Cardinals,St. Louis Rams,https://www.pro-football-reference.com/boxscores/201009120ram.htm,2010-09-12
20,27,0,0,0,0,0,0,0,0,0,0,2010,1,Green Bay Packers,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/201009120phi.htm,2010-09-12
31,6,0,0,0,0,0,0,0,0,0,0,2010,1,San Francisco 49ers,Seattle Seahawks,https://www.pro-football-reference.com/boxscores/201009120sea.htm,2010-09-12
13,7,0,0,0,0,0,0,0,0,0,0,2010,1,Dallas Cowboys,Washington Redskins,https://www.pro-football-reference.com/boxscores/201009120was.htm,2010-09-12
9,10,0,0,0,0,0,0,0,0,0,0,2010,1,Baltimore Ravens,New York Jets,https://www.pro-football-reference.com/boxscores/201009130nyj.htm,2010-09-13
21,14,0,0,0,0,0,0,0,0,0,0,2010,1,San Diego Chargers,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201009130kan.htm,2010-09-13
34,7,0,0,0,0,0,0,0,0,0,0,2010,2,Buffalo Bills,Green Bay Packers,https://www.pro-football-reference.com/boxscores/201009190gnb.htm,2010-09-19
15,10,0,0,0,0,0,0,0,0,0,0,2010,2,Baltimore Ravens,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/201009190cin.htm,2010-09-19
14,16,0,0,0,0,0,0,0,0,0,0,2010,2,Kansas City Chiefs,Cleveland Browns,https://www.pro-football-reference.com/boxscores/201009190cle.htm,2010-09-19
32,35,0,0,0,0,0,0,0,0,0,0,2010,2,Philadelphia Eagles,Detroit Lions,https://www.pro-football-reference.com/boxscores/201009190det.htm,2010-09-19
11,19,0,0,0,0,0,0,0,0,0,0,2010,2,Pittsburgh Steelers,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201009190oti.htm,2010-09-19
41,7,0,0,0,0,0,0,0,0,0,0,2010,2,Arizona Cardinals,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/201009190atl.htm,2010-09-19
7,20,0,0,0,0,0,0,0,0,0,0,2010,2,Tampa Bay Buccaneers,Carolina Panthers,https://www.pro-football-reference.com/boxscores/201009190car.htm,2010-09-19
20,27,0,0,0,0,0,0,0,0,0,0,2010,2,Chicago Bears,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/201009190dal.htm,2010-09-19
10,14,0,0,0,0,0,0,0,0,0,0,2010,2,Miami Dolphins,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/201009190min.htm,2010-09-19
16,14,0,0,0,0,0,0,0,0,0,0,2010,2,St. Louis Rams,Oakland Raiders,https://www.pro-football-reference.com/boxscores/201009190rai.htm,2010-09-19
31,14,0,0,0,0,0,0,0,0,0,0,2010,2,Seattle Seahawks,Denver Broncos,https://www.pro-football-reference.com/boxscores/201009190den.htm,2010-09-19
27,30,0,0,0,0,0,0,0,0,0,0,2010,2,Houston Texans,Washington Redskins,https://www.pro-football-reference.com/boxscores/201009190was.htm,2010-09-19
38,13,0,0,0,0,0,0,0,0,0,0,2010,2,Jacksonville Jaguars,San Diego Chargers,https://www.pro-football-reference.com/boxscores/201009190sdg.htm,2010-09-19
28,14,0,0,0,0,0,0,0,0,0,0,2010,2,New England Patriots,New York Jets,https://www.pro-football-reference.com/boxscores/201009190nyj.htm,2010-09-19
38,14,0,0,0,0,0,0,0,0,0,0,2010,2,New York Giants,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/201009190clt.htm,2010-09-19
22,25,0,0,0,0,0,0,0,0,0,0,2010,2,New Orleans Saints,San Francisco 49ers,https://www.pro-football-reference.com/boxscores/201009200sfo.htm,2010-09-20
38,30,0,0,0,0,0,0,0,0,0,0,2010,3,Buffalo Bills,New England Patriots,https://www.pro-football-reference.com/boxscores/201009260nwe.htm,2010-09-26
7,20,0,0,0,0,0,0,0,0,0,0,2010,3,Cincinnati Bengals,Carolina Panthers,https://www.pro-football-reference.com/boxscores/201009260car.htm,2010-09-26
24,17,0,0,0,0,0,0,0,0,0,0,2010,3,Cleveland Browns,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/201009260rav.htm,2010-09-26
13,27,0,0,0,0,0,0,0,0,0,0,2010,3,Dallas Cowboys,Houston Texans,https://www.pro-football-reference.com/boxscores/201009260htx.htm,2010-09-26
10,29,0,0,0,0,0,0,0,0,0,0,2010,3,Tennessee Titans,New York Giants,https://www.pro-football-reference.com/boxscores/201009260nyg.htm,2010-09-26
24,27,0,0,0,0,0,0,0,0,0,0,2010,3,Atlanta Falcons,New Orleans Saints,https://www.pro-football-reference.com/boxscores/201009260nor.htm,2010-09-26
